Reservation ID,Guest ID,Booking Date,Check-In Date,Check-Out Date,Number of Nights,Check-In Month,Check-In Year,Season,Check-In Day,Adults,Children,Party Size,Room Type,Guest Type,Market Segment,Booking Channel,Guest State,Loyalty Member,Returning Guest,Booking Lead Time,Daily Rate,Room Revenue,Restaurant Spend,Spa Used,Spa Spend,Other Spend,Ancillary Revenue,Total Revenue,Reservation Status,Special Request,Complaint Filed,Satisfaction Rating,Review Score
R202400025,G101568,2024-03-09 00:00:00,2024-03-20 00:00:00,2024-03-23 00:00:00,3,March,2024,Spring,Wednesday,1,0,1,Standard Double,Business,Direct,Hotel Website,New Jersey,No,No,11,154.07,0.0,0,No,0,0,0,0.0,Cancelled,No,No,,
R202400026,G102358,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-05 00:00:00,4,March,2025,Spring,Saturday,1,2,3,Standard Double,Leisure,Corporate Negotiated,Corporate,New York,No,No,0,145.36,581.44,342.47,No,0,0,342.47,923.91,Completed,No,No,3.6,7.0
R202400027,G100522,2024-08-12 00:00:00,2024-08-12 00:00:00,2024-08-14 00:00:00,2,August,2024,Summer,Monday,2,2,4,Standard Double,Leisure,OTA,Expedia,Massachusetts,No,No,0,228.71,457.42,202.06,No,0,54.26,256.32,713.74,Completed,No,No,4.3,9.1
R202400028,G100079,2024-12-05 00:00:00,2024-12-11 00:00:00,2024-12-14 00:00:00,3,December,2024,Winter,Wednesday,1,0,1,Lake View King,Business,OTA,Expedia,Massachusetts,No,No,6,258.39,775.17,122.57,Yes,129.0,174.27,425.84,1201.01,Completed,No,No,4.2,8.1
R202400029,G100469,2024-04-04 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,3,April,2024,Spring,Saturday,2,1,3,Deluxe King,Leisure,Direct,Hotel Website,New Jersey,No,No,23,209.61,628.83,22.48,No,0,32.99,55.47,684.3,Completed,No,No,4.7,9.3
R202400030,G100168,2025-10-04 00:00:00,2025-10-04 00:00:00,2025-10-06 00:00:00,2,October,2025,Fall,Saturday,3,0,3,Standard King,Leisure,OTA,Booking.com,Connecticut,No,No,0,178.24,356.48,88.19,No,0,141.95,230.14,586.62,Completed,Yes,No,3.7,6.6
R202400031,G103382,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-22 00:00:00,1,March,2025,Spring,Friday,3,0,3,Deluxe King,Leisure,OTA,Expedia,Virginia,No,No,0,189.33,189.33,150.8,No,0,58.54,209.34,398.67,Completed,No,No,4.3,8.7
R202400032,G102116,2024-04-13 00:00:00,2024-07-05 00:00:00,2024-07-08 00:00:00,3,July,2024,Summer,Friday,3,0,3,Standard King,Leisure,OTA,Expedia,Connecticut,No,No,83,222.54,667.62,260.91,No,0,4.04,264.95,932.57,Completed,No,No,4.7,9.6
R202400033,G101441,2024-09-22 00:00:00,2024-11-09 00:00:00,2024-11-10 00:00:00,1,November,2024,Fall,Saturday,1,0,1,Deluxe King,Business,OTA,Expedia,New York,No,No,48,186.24,0.0,0,No,0,0,0,0.0,Cancelled,Yes,No,,
R202400034,G102414,2025-06-15 00:00:00,2025-07-02 00:00:00,2025-07-04 00:00:00,2,July,2025,Summer,Wednesday,2,0,2,Standard King,Couple Getaway,OTA,Booking.com,New York,No,No,17,202.01,0.0,0,No,0,0,0,0.0,Cancelled,Yes,No,,
R202400035,G102612,2024-05-18 00:00:00,2024-07-02 00:00:00,2024-07-06 00:00:00,4,July,2024,Summer,Tuesday,2,2,4,Standard King,Leisure,OTA,Booking.com,Pennsylvania,No,No,45,219.83,879.32,234.75,No,0,158.12,392.87,1272.19,Completed,Yes,No,3.3,6.7
R202400036,G102285,2024-03-16 00:00:00,2024-03-16 00:00:00,2024-03-21 00:00:00,5,March,2024,Spring,Saturday,1,0,1,Standard King,Leisure,OTA,Booking.com,New Jersey,No,No,0,145.33,726.65,71.75,No,0,157.98,229.73,956.38,Completed,No,No,4.1,8.9
R202400037,G100711,2024-03-18 00:00:00,2024-04-11 00:00:00,2024-04-13 00:00:00,2,April,2024,Spring,Thursday,2,0,2,Standard King,Couple Getaway,Direct,Hotel Website,New York,No,No,24,142.51,285.02,90.89,Yes,203.55,23.98,318.42,603.44,Completed,No,No,4.8,9.8
R202400038,G100582,2025-08-06 00:00:00,2025-10-02 00:00:00,2025-10-06 00:00:00,4,October,2025,Fall,Thursday,2,0,2,Standard King,Leisure,Direct,Phone,Massachusetts,Yes,No,57,168.35,673.4,223.14,No,0,25.8,248.94,922.34,Completed,Yes,No,4.1,6.9
R202400039,G102761,2025-05-20 00:00:00,2025-05-20 00:00:00,2025-05-23 00:00:00,3,May,2025,Spring,Tuesday,1,0,1,Junior Suite,Leisure,OTA,Booking.com,New Jersey,No,No,0,352.11,1056.33,69.95,Yes,339.32,58.81,468.08,1524.41,Completed,No,No,4.8,9.4
R202400040,G100658,2025-09-22 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,1,October,2025,Fall,Sunday,1,0,1,Standard Double,Business,Direct,Travel Agent,Massachusetts,No,No,20,190.77,190.77,24.62,No,0,9.38,34.0,224.77,Completed,No,No,4.9,9.7
R202400041,G102561,2023-12-08 00:00:00,2024-01-02 00:00:00,2024-01-05 00:00:00,3,January,2024,Winter,Tuesday,1,0,1,Standard Double,Business,OTA,Booking.com,Maryland,No,No,25,116.83,0.0,0,No,0,0,0,0.0,Cancelled,No,No,,
R202400042,G100381,2025-03-12 00:00:00,2025-05-11 00:00:00,2025-05-14 00:00:00,3,May,2025,Spring,Sunday,2,0,2,Deluxe King,Leisure,Direct,Travel Agent,Massachusetts,No,No,60,218.03,654.09,141.8,No,0,74.45,216.25,870.34,Completed,No,No,3.8,7.9
R202400043,G103235,2025-03-04 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,1,April,2025,Spring,Saturday,3,0,3,Junior Suite,Leisure,OTA,Expedia,Massachusetts,No,No,39,332.96,332.96,144.82,No,0,35.57,180.39,513.35,Completed,No,No,4.7,9.0
R202400044,G100956,2024-10-07 00:00:00,2024-12-06 00:00:00,2024-12-09 00:00:00,3,December,2024,Winter,Friday,2,1,3,Standard Double,Leisure,OTA,Booking.com,New York,No,No,60,162.15,486.45,347.08,No,0,71.53,418.61,905.06,Completed,No,No,5,10
R202400045,G103567,2025-06-06 00:00:00,2025-08-27 00:00:00,2025-09-02 00:00:00,6,August,2025,Summer,Wednesday,1,0,1,Lake View King,Leisure,Direct,Hotel Website,Pennsylvania,No,No,82,355.03,2130.18,235.45,No,0,186.92,422.37,2552.55,Completed,No,No,5,9.1
R202400046,G102803,2024-11-06 00:00:00,2024-11-20 00:00:00,2024-11-21 00:00:00,1,November,2024,Fall,Wednesday,1,0,1,Standard Double,Business,Corporate Negotiated,Corporate,New York,No,No,14,156.91,156.91,16.38,No,0,39.04,55.42,212.33,Completed,No,No,3.9,6.7
R202400047,G100323,2024-01-24 00:00:00,2024-02-27 00:00:00,2024-02-28 00:00:00,1,February,2024,Winter,Tuesday,3,0,3,Standard King,Leisure,OTA,Expedia,New York,No,No,34,126.1,126.1,60.19,No,0,27.02,87.21,213.31,Completed,No,No,4.8,9.2
R202400048,G103462,2025-06-24 00:00:00,2025-07-13 00:00:00,2025-07-14 00:00:00,1,July,2025,Summer,Sunday,2,0,2,Standard Double,Leisure,OTA,Expedia,Pennsylvania,No,No,19,265.98,0.0,0,No,0,0,0,0.0,Cancelled,No,No,,
R202400049,G102318,2024-10-09 00:00:00,2024-10-29 00:00:00,2024-10-31 00:00:00,2,October,2024,Fall,Tuesday,2,0,2,Executive Suite,Couple Getaway,Direct,Hotel Website,New York,No,No,20,516.99,1033.98,182.54,No,0,31.25,213.79,1247.77,Completed,No,No,4.5,10.0
R202400050,G102570,2024-07-13 00:00:00,2024-07-13 00:00:00,2024-07-14 00:00:00,1,July,2024,Summer,Saturday,1,0,1,Deluxe King,Business,OTA,Booking.com,Other,No,No,0,308.51,308.51,19.72,No,0,25.5,45.22,353.73,Completed,No,No,4.8,10
R202400051,G103565,2025-06-23 00:00:00,2025-06-27 00:00:00,2025-07-04 00:00:00,7,June,2025,Summer,Friday,4,0,4,Standard King,Leisure,Direct,Hotel Website,Pennsylvania,No,No,4,193.65,1355.55,1366.72,No,0,555.47,1922.19,3277.74,Completed,No,No,5,9.8
R202400052,G101521,2025-02-07 00:00:00,2025-02-08 00:00:00,2025-02-10 00:00:00,2,February,2025,Winter,Saturday,2,2,4,Standard Double,Leisure,OTA,Booking.com,Pennsylvania,Yes,No,1,126.58,253.16,16.51,No,0,33.21,49.72,302.88,Completed,Yes,No,4.9,9.5
R202400053,G101519,2024-03-27 00:00:00,2024-05-23 00:00:00,2024-05-27 00:00:00,4,May,2024,Spring,Thursday,2,0,2,Executive Suite,Leisure,Direct,Hotel Website,New York,No,No,57,515.55,2062.2,78.98,Yes,240.32,210.51,529.81,2592.01,Completed,Yes,No,3.3,7.3
R202400054,G102641,2024-09-28 00:00:00,2025-01-14 00:00:00,2025-01-15 00:00:00,1,January,2025,Winter,Tuesday,2,2,4,Standard King,Leisure,OTA,Expedia,Massachusetts,No,No,108,111.48,0.0,0,No,0,0,0,0.0,Cancelled,No,No,,
R202400055,G100840,2025-09-19 00:00:00,2025-11-09 00:00:00,2025-11-14 00:00:00,5,November,2025,Fall,Sunday,4,2,6,Executive Suite,Leisure,OTA,Booking.com,New York,Yes,No,51,350.15,1750.75,1070.49,Yes,762.31,103.3,1936.1,3686.85,Completed,Yes,No,4.8,9.8
R202400056,G101086,2024-04-04 00:00:00,2024-06-27 00:00:00,2024-06-28 00:00:00,1,June,2024,Summer,Thursday,2,0,2,Standard King,Leisure,Corporate Negotiated,Corporate,New York,Yes,No,84,198.67,198.67,55.22,No,0,9.99,65.21,263.88,Completed,No,No,3.2,6.4
R202400057,G102008,2025-09-11 00:00:00,2025-11-05 00:00:00,2025-11-10 00:00:00,5,November,2025,Fall,Wednesday,2,1,3,Executive Suite,Leisure,OTA,Expedia,New York,No,No,55,402.43,2012.15,478.53,No,0,220.87,699.4,2711.55,Completed,No,No,3.8,8.1
R202400058,G100880,2025-05-26 00:00:00,2025-06-01 00:00:00,2025-06-06 00:00:00,5,June,2025,Summer,Sunday,3,1,4,Deluxe King,Leisure,Direct,Hotel Website,Connecticut,No,No,6,296.88,1484.4,678.83,No,0,76.92,755.75,2240.15,Completed,No,No,4.3,10.0
R202400059,G102402,2025-02-18 00:00:00,2025-04-30 00:00:00,2025-05-05 00:00:00,5,April,2025,Spring,Wednesday,3,0,3,Standard King,Leisure,Corporate Negotiated,Corporate,New York,No,No,71,157.65,788.25,94.39,No,0,293.92,388.31,1176.56,Completed,No,No,4.8,9.7
R202400060,G103123,2024-02-19 00:00:00,2024-04-16 00:00:00,2024-04-19 00:00:00,3,April,2024,Spring,Tuesday,3,0,3,Deluxe King,Leisure,Direct,Hotel Website,Connecticut,No,No,57,198.43,595.29,72.35,No,0,62.87,135.22,730.51,Completed,No,No,3.7,6.9
R202400061,G101641,2023-12-16 00:00:00,2024-01-30 00:00:00,2024-02-02 00:00:00,3,January,2024,Winter,Tuesday,3,0,3,Standard King,Leisure,OTA,Booking.com,Pennsylvania,Yes,No,45,123.2,0.0,0,No,0,0,0,0.0,Cancelled,No,No,,
R202400062,G100644,2025-04-07 00:00:00,2025-04-09 00:00:00,2025-04-12 00:00:00,3,April,2025,Spring,Wednesday,1,0,1,Deluxe King,Leisure,OTA,Expedia,Ohio,No,No,2,177.19,531.57,38.11,No,0,146.45,184.56,716.13,Completed,Yes,No,4.2,8.6
R202400063,G100865,2025-06-23 00:00:00,2025-08-30 00:00:00,2025-08-31 00:00:00,1,August,2025,Summer,Saturday,1,0,1,Standard King,Leisure,OTA,Booking.com,Pennsylvania,No,No,68,219.81,0.0,0,No,0,0,0,0.0,Cancelled,No,No,,
R202400064,G100173,2024-05-12 00:00:00,2024-05-12 00:00:00,2024-05-17 00:00:00,5,May,2024,Spring,Sunday,1,2,3,Standard Double,Leisure,OTA,Booking.com,Other,No,No,0,160.59,802.95,246.27,No,0,223.14,469.41,1272.36,Completed,No,No,4.7,9.3
R202400065,G102146,2025-04-05 00:00:00,2025-04-16 00:00:00,2025-04-19 00:00:00,3,April,2025,Spring,Wednesday,1,0,1,Standard King,Business,Corporate Negotiated,Corporate,Other,Yes,No,11,152.17,456.51,68.88,Yes,303.64,217.88,590.4,1046.91,Completed,No,No,4.7,8.9
R202400066,G102684,2025-09-23 00:00:00,2025-10-22 00:00:00,2025-10-25 00:00:00,3,October,2025,Fall,Wednesday,1,0,1,Standard King,Business,Direct,Hotel Website,New York,Yes,No,29,180.11,540.33,26.32,No,0,124.09,150.41,690.74,Completed,No,No,3.5,5.7
R202400067,G100303,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,1,October,2025,Fall,Saturday,2,0,2,Standard Double,Leisure,OTA,Expedia,California,No,No,1,180.72,180.72,100.62,No,0,55.39,156.01,336.73,Completed,No,No,3.7,7.6
R202400068,G100423,2023-11-30 00:00:00,2024-02-12 00:00:00,2024-02-14 00:00:00,2,February,2024,Winter,Monday,2,0,2,Deluxe King,Leisure,Direct,Phone,Texas,No,No,74,189.57,379.14,174.69,Yes,325.21,102.05,601.95,981.09,Completed,No,No,4.1,7.9
R202400069,G102778,2025-01-31 00:00:00,2025-01-31 00:00:00,2025-02-04 00:00:00,4,January,2025,Winter,Friday,1,0,1,Deluxe King,Leisure,OTA,Expedia,New York,No,No,0,175.99,703.96,89.01,Yes,312.45,109.79,511.25,1215.21,Completed,No,No,4.0,7.3
R202400070,G103395,2025-12-09 00:00:00,2025-12-26 00:00:00,2025-12-30 00:00:00,4,December,2025,Winter,Friday,4,2,6,Standard Double,Group,Group,Hotel Website,Florida,No,No,17,187.74,750.96,1047.11,No,0,212.64,1259.75,2010.71,Completed,Yes,No,4.8,9.4
R202400071,G102156,2024-06-15 00:00:00,2024-07-15 00:00:00,2024-07-19 00:00:00,4,July,2024,Summer,Monday,3,2,5,Standard King,Leisure,Direct,Hotel Website,Pennsylvania,Yes,No,30,206.54,826.16,726.56,No,0,202.76,929.32,1755.48,Completed,No,No,4.6,8.9
R202400072,G100979,2025-02-15 00:00:00,2025-02-24 00:00:00,2025-02-25 00:00:00,1,February,2025,Winter,Monday,3,0,3,Executive Suite,Leisure,Direct,Phone,Massachusetts,No,No,9,387.07,387.07,102.45,No,0,16.87,119.32,506.39,Completed,No,No,4.2,8.9
R202400073,G102271,2024-05-14 00:00:00,2024-06-14 00:00:00,2024-06-16 00:00:00,2,June,2024,Summer,Friday,2,0,2,Standard King,Business,Direct,Phone,Texas,No,No,31,216.35,432.7,91.4,No,0,83.0,174.4,607.1,Completed,No,No,4.5,8.8
R202400074,G101535,2025-01-08 00:00:00,2025-04-06 00:00:00,2025-04-08 00:00:00,2,April,2025,Spring,Sunday,3,0,3,Standard Double,Group,Group,Travel Agent,New Jersey,No,No,88,146.94,293.88,146.31,Yes,579.07,91.26,816.64,1110.52,Completed,No,No,4.5,8.4
R202400075,G100973,2024-02-25 00:00:00,2024-03-22 00:00:00,2024-03-27 00:00:00,5,March,2024,Spring,Friday,2,2,4,Standard King,Leisure,Direct,Hotel Website,New York,No,No,26,136.37,681.85,635.86,Yes,382.49,58.01,1076.36,1758.21,Completed,No,Yes,2.8,5.6
R202400076,G102154,2024-12-20 00:00:00,2025-03-15 00:00:00,2025-03-19 00:00:00,4,March,2025,Spring,Saturday,2,0,2,Deluxe King,Leisure,OTA,Expedia,New York,No,No,85,196.48,0.0,0,No,0,0,0,0.0,Cancelled,No,No,,
R202400077,G103002,2025-01-16 00:00:00,2025-01-31 00:00:00,2025-02-03 00:00:00,3,January,2025,Winter,Friday,2,0,2,Standard King,Couple Getaway,Direct,Hotel Website,Massachusetts,No,No,15,125.08,375.24,169.7,Yes,218.18,69.71,457.59,832.83,Completed,No,No,3.9,6.4
R202400078,G100817,2024-06-18 00:00:00,2024-07-05 00:00:00,2024-07-06 00:00:00,1,July,2024,Summer,Friday,1,0,1,Lake View King,Business,Direct,Hotel Website,New York,No,No,17,362.81,362.81,6.78,No,0,59.13,65.91,428.72,Completed,Yes,No,4.1,9.3
R202400079,G100765,2025-10-24 00:00:00,2025-11-02 00:00:00,2025-11-07 00:00:00,5,November,2025,Fall,Sunday,3,0,3,Standard Double,Leisure,Direct,Hotel Website,New York,No,No,9,148.93,744.65,82.79,No,0,151.11,233.9,978.55,Completed,Yes,No,4.7,8.8
R202400080,G102977,2024-02-27 00:00:00,2024-03-22 00:00:00,2024-03-25 00:00:00,3,March,2024,Spring,Friday,2,0,2,Standard Double,Leisure,Direct,Hotel Website,Ohio,No,No,24,155.92,467.76,135.5,No,0,287.45,422.95,890.71,Completed,Yes,No,3.7,8.1
R202400081,G101568,2023-12-18 00:00:00,2024-02-01 00:00:00,2024-02-05 00:00:00,4,February,2024,Winter,Thursday,3,0,3,Lake View King,Leisure,OTA,Booking.com,New York,No,Yes,45,201.36,805.44,223.14,Yes,239.9,209.1,672.14,1477.58,Completed,No,No,4.2,9.8
R202400082,G101169,2024-05-04 00:00:00,2024-07-09 00:00:00,2024-07-12 00:00:00,3,July,2024,Summer,Tuesday,2,3,5,Deluxe King,Leisure,OTA,Expedia,New York,No,No,66,284.31,0.0,0,No,0,0,0,0.0,Cancelled,Yes,No,,
R202400083,G102220,2025-12-11 00:00:00,2025-12-31 00:00:00,2026-01-04 00:00:00,4,December,2025,Winter,Wednesday,2,0,2,Deluxe King,Leisure,Direct,Hotel Website,New York,No,No,20,214.48,857.92,184.67,No,0,7.79,192.46,1050.38,Completed,No,No,5,9.9
R202400084,G101266,2025-05-15 00:00:00,2025-05-20 00:00:00,2025-05-24 00:00:00,4,May,2025,Spring,Tuesday,2,0,2,Standard Double,Leisure,OTA,Booking.com,New York,No,No,5,170.69,682.76,112.93,No,0,202.02,314.95,997.71,Completed,No,No,3.7,7.5
R202400085,G100508,2025-06-23 00:00:00,2025-07-18 00:00:00,2025-07-19 00:00:00,1,July,2025,Summer,Friday,1,0,1,Executive Suite,Business,Direct,Hotel Website,Other,No,No,25,604.51,604.51,26.11,No,0,28.73,54.84,659.35,Completed,No,No,4.7,9.6
R202400086,G102698,2024-08-27 00:00:00,2024-10-08 00:00:00,2024-10-10 00:00:00,2,October,2024,Fall,Tuesday,4,0,4,Standard Double,Leisure,Direct,Hotel Website,New York,No,No,42,198.04,396.08,249.96,No,0,64.13,314.09,710.17,Completed,Yes,No,4.4,8.4
R202400087,G103296,2025-07-15 00:00:00,2025-08-08 00:00:00,2025-08-10 00:00:00,2,August,2025,Summer,Friday,4,0,4,Standard Double,Leisure,OTA,Booking.com,Other,No,No,24,222.7,445.4,281.04,No,0,108.21,389.25,834.65,Completed,No,No,4.7,9.0
R202400088,G101910,2024-11-21 00:00:00,2024-12-19 00:00:00,2024-12-21 00:00:00,2,December,2024,Winter,Thursday,2,0,2,Standard Double,Couple Getaway,Direct,Hotel Website,Other,Yes,No,28,158.59,317.18,227.44,No,0,103.17,330.61,647.79,Completed,No,No,5,9.4
R202400089,G101610,2024-09-22 00:00:00,2024-11-16 00:00:00,2024-11-17 00:00:00,1,November,2024,Fall,Saturday,2,0,2,Executive Suite,Leisure,Direct,Hotel Website,Virginia,No,No,55,456.61,456.61,51.11,No,0,40.66,91.77,548.38,Completed,No,No,3.7,7.5
R202400090,G101484,2025-01-29 00:00:00,2025-03-17 00:00:00,2025-03-20 00:00:00,3,March,2025,Spring,Monday,1,0,1,Standard Double,Leisure,Direct,Hotel Website,California,No,No,47,139.95,419.85,86.77,No,0,51.75,138.52,558.37,Completed,No,No,4.9,9.7
R202400091,G102922,2024-11-20 00:00:00,2024-12-13 00:00:00,2024-12-15 00:00:00,2,December,2024,Winter,Friday,1,0,1,Standard King,Leisure,OTA,Expedia,New York,No,No,23,154.09,308.18,33.64,No,0,66.18,99.82,408.0,Completed,Yes,No,4.3,8.1
R202400092,G102390,2025-05-21 00:00:00,2025-06-05 00:00:00,2025-06-09 00:00:00,4,June,2025,Summer,Thursday,2,3,5,Standard King,Leisure,OTA,Booking.com,Massachusetts,No,No,15,215.38,861.52,397.6,No,0,100.46,498.06,1359.58,Completed,No,No,4.4,9.0
